,Activity_Type,Date,Title,Distance,Calories,Time,Avg_HR,Max_HR,Aerobic_TE,Avg_Speed,Max_Speed,Total_Ascent,Total_Descent,Avg_Cadence,Max_Cadence,Normalized_Power,Training_Stress_Score,Max_Avg_Power(20min),Avg_Power,Max_Power,Total_Strokes,Min_Temp,Moving_Time,Elapsed_Time,Min_Elevation,Max_Elevation,Bike
40,Virtual Cycling,2023-02-14 18:10:48,2020 Dutch National Road Race Championships - Col du VAM,14.84,328.0,0 days 00:28:06,149,180,3.0,31.7,69.6,66,56,83,94,230,28.0,210,195,491,0,0.0,0 days 00:28:06,0 days 00:28:06,14,49,Tacx
41,Gravel Cycling,2023-02-12 14:08:27,Prague Gravel/Unpaved Cycling,53.73,1352.0,0 days 02:08:20,147,176,3.9,25.1,49.3,538,537,0,0,0,0.0,0,0,0,0,4.0,0 days 02:08:01,0 days 02:11:54,191,381,Bergamont
42,Virtual Cycling,2023-02-09 18:02:01,"Lombardy, Lago d'Iseo - Stage 2",37.18,735.0,0 days 01:12:26,145,165,3.2,30.8,44.3,120,73,81,104,174,41.3,185,169,463,0,0.0,0 days 01:12:25,0 days 01:12:26,207,234,Tacx
43,Virtual Cycling,2023-02-07 17:55:51,Strada del Ponale MTB - Lago di Garda,30.21,840.0,0 days 01:11:06,149,169,4.4,25.5,72.6,658,628,73,89,218,63.4,247,197,416,0,0.0,0 days 01:11:06,0 days 01:11:06,40,648,Tacx
44,Virtual Cycling,2023-02-06 18:43:35,"Lombardy, Lago d'Iseo - Stage 1",30.29,658.0,0 days 01:00:31,147,179,3.6,30.0,71.3,227,189,76,90,200,45.6,211,181,372,0,0.0,0 days 01:00:30,0 days 01:00:31,201,347,Tacx
45,Virtual Cycling,2023-02-01 18:32:00,"Lago di Garda, Torbole",36.66,721.0,0 days 01:11:22,139,170,3.3,30.8,41.9,117,67,80,90,177,41.9,188,168,353,0,0.0,0 days 01:11:21,0 days 01:11:22,73,99,Tacx
46,Virtual Cycling,2023-01-29 15:37:11,Tour of Majorca Stage 4 - Soller to  Puig Major - Tour of Mallorca Stage 4 - Soller to  Puig Major,38.96,1418.0,0 days 01:45:27,161,175,5.0,22.2,70.4,1255,594,76,92,238,112.0,258,224,363,0,0.0,0 days 01:45:26,0 days 01:45:27,16,851,Tacx
47,Virtual Cycling,2023-01-24 18:37:31,Tour of Majorca Stage 2 - Montuiri - Tour of Mallorca Stage 2 - Montuiri,53.06,1119.0,0 days 01:49:54,139,168,4.2,29.0,58.7,482,250,73,86,188,73.3,214,170,417,0,0.0,0 days 01:49:52,0 days 01:49:54,14,205,Tacx
48,eBiking,2023-01-24 08:38:28,Prague Cycling,3.0,137.0,0 days 00:14:04,131,155,0.0,12.8,24.7,72,4,0,0,0,0.0,0,0,0,0,0.0,0 days 00:11:35,0 days 00:14:04,209,279,Elops
49,Virtual Cycling,2023-01-23 17:44:48,Tour of Majorca Stage 6 - Descent to Pollenca - Tour of Mallorca Stage 6 - Descent to Pollenca,29.08,561.0,0 days 00:48:22,150,175,3.5,36.1,67.0,261,737,73,85,220,44.0,234,194,377,0,0.0,0 days 00:48:19,0 days 00:48:22,102,735,Tacx
50,Virtual Cycling,2023-01-21 12:45:36,Tour of Majorca Stage 1 - Porto Cristo - Tour of Mallorca Stage 1 - Porto Cristo,70.53,1460.0,0 days 02:19:11,149,177,4.3,30.4,62.7,627,615,73,84,201,105.1,222,175,406,0,0.0,0 days 02:19:01,0 days 02:19:11,22,233,Tacx
51,Virtual Cycling,2023-01-19 17:37:55,Tour of Majorca Stage 3 - Alaro - Tour of Mallorca Stage 3 - Alaro,42.89,930.0,0 days 01:25:52,144,171,3.5,30.0,59.9,387,292,75,85,203,66.1,216,181,453,0,0.0,0 days 01:25:51,0 days 01:25:52,145,314,Tacx
52,Virtual Cycling,2023-01-17 19:34:57,Tour of Majorca Stage 2a - Sant Salvador - Tour of Mallorca Stage 2a - Sant Salvador,11.25,382.0,0 days 00:29:36,153,165,3.4,22.8,66.0,349,333,73,88,233,30.0,250,215,330,0,0.0,0 days 00:29:33,0 days 00:29:36,169,518,Tacx
53,Virtual Cycling,2023-01-17 18:57:46,Tour of Majorca Stage 2b - Puig de Randa - Tour of Mallorca Stage 2b - Puig de Randa,11.4,467.0,0 days 00:35:11,148,165,3.6,19.4,41.2,417,5,67,100,236,36.8,244,221,358,0,0.0,0 days 00:35:08,0 days 00:35:11,134,535,Tacx
54,Gravel Cycling,2023-01-15 10:03:42,Prague Gravel/Unpaved Cycling,27.14,714.0,0 days 01:11:04,138,166,3.1,22.9,50.3,148,132,0,0,0,0.0,0,0,0,0,8.0,0 days 01:10:45,0 days 01:13:11,192,281,Bergamont
55,Gravel Cycling,2023-01-14 11:48:27,Prague Gravel/Unpaved Cycling,70.71,1815.0,0 days 02:58:29,149,174,4.5,23.8,61.6,508,477,0,0,0,0.0,0,0,0,0,5.0,0 days 02:58:12,0 days 03:03:44,196,542,Bergamont
56,Virtual Cycling,2023-01-12 17:53:47,Tour of Majorca Stage 6a - Cap Formentor - Tour of Mallorca Stage 6a - Cap Formentor,25.31,725.0,0 days 00:57:36,154,178,4.3,26.4,66.8,501,294,74,93,231,57.6,233,210,376,0,0.0,0 days 00:57:32,0 days 00:57:36,13,247,Tacx
57,Virtual Cycling,2023-01-10 18:26:12,Tour of Majorca Stage 5 - Sa Calobra - Tour of Mallorca Stage 5 - Sa Calobra,29.94,952.0,0 days 01:14:45,159,179,5.0,24.0,68.4,835,1044,75,87,225,70.7,240,213,360,0,0.0,0 days 01:14:40,0 days 01:14:45,7,755,Tacx
58,Virtual Cycling,2023-01-08 16:15:32,Drome - Rhone Valley,43.54,873.0,0 days 01:24:41,146,180,3.7,30.8,63.9,183,117,78,96,188,56.2,204,172,474,0,0.0,0 days 01:24:36,0 days 01:24:41,54,121,Tacx
59,Virtual Cycling,2023-01-05 17:46:54,"Unbound Gravel, Stage 1 - Unbound Gravel, Stage 1 (Kansas)",42.9,982.0,0 days 01:34:32,146,172,4.2,27.2,54.1,422,151,70,84,191,64.8,198,173,388,0,0.0,0 days 01:34:29,0 days 01:34:32,169,357,Tacx
60,Virtual Cycling,2023-01-03 17:35:06,"Unbound Gravel, Stage 2 - Unbound Gravel, Stage 2 (Kansas)",38.94,800.0,0 days 01:16:29,148,170,3.8,30.5,46.6,147,145,79,99,184,48.6,191,174,401,0,0.0,0 days 01:16:23,0 days 01:16:29,282,342,Tacx
61,Virtual Cycling,2022-12-19 18:35:20,Canal du Nivernais – Stage 3,25.17,464.0,0 days 00:46:45,141,156,3.1,32.3,43.6,32,77,79,92,169,25.2,174,166,485,0,0.0,0 days 00:46:45,0 days 00:46:45,277,347,Tacx
62,Virtual Cycling,2022-12-18 16:10:13,"Inn Valley, Bavaria – Stage 1",37.79,792.0,0 days 01:13:09,150,178,3.8,31.0,50.7,231,125,79,95,194,51.5,197,181,463,0,0.0,0 days 01:13:07,0 days 01:13:09,457,495,Tacx
63,Virtual Cycling,2022-12-05 18:02:54,Parenzana Trail - Stage 1,28.16,579.0,0 days 00:54:38,145,172,3.3,30.9,58.4,237,209,72,79,195,39.0,191,177,391,0,0.0,0 days 00:54:36,0 days 00:54:38,13,98,Tacx
64,Virtual Cycling,2022-12-02 18:48:14,Barcelona - City Trip,21.02,443.0,0 days 00:42:26,0,0,0.0,29.7,61.6,124,102,72,81,195,30.3,199,174,394,0,0.0,0 days 00:42:23,0 days 00:42:26,27,104,Tacx
65,Cycling,2022-11-29 14:47:05,Prague Cycling,4.99,269.0,0 days 00:23:23,144,173,0.0,12.8,27.2,101,47,0,0,0,0.0,0,0,0,0,0.0,0 days 00:21:20,0 days 00:23:23,203,285,unknown
66,Road Cycling,2022-11-17 11:10:45,Caldaro sulla Strada del Vino Road Cycling,65.99,1759.0,0 days 02:39:28,143,176,4.1,24.8,60.2,491,494,78,108,0,0.0,0,0,0,11599,7.0,0 days 02:39:21,0 days 02:49:01,211,582,Roubaix
67,Road Cycling,2022-10-29 13:32:37,Prague Road Cycling,51.21,1151.0,0 days 02:02:52,134,171,3.1,25.0,45.0,193,200,78,103,0,0.0,0,0,0,8510,17.0,0 days 02:02:29,0 days 02:06:47,192,238,Roubaix
68,Gravel Cycling,2022-10-16 12:36:01,Kokořínsko,79.24,2637.0,0 days 04:05:08,152,184,5.0,19.4,53.9,1104,1210,0,0,0,0.0,0,0,0,0,14.0,0 days 04:03:53,0 days 04:44:22,165,432,Bergamont
69,Gravel Cycling,2022-10-14 14:45:49,Prague Gravel/Unpaved Cycling,73.52,1759.0,0 days 03:12:44,133,175,3.3,22.9,48.9,460,440,0,0,0,0.0,0,0,0,0,12.0,0 days 03:11:39,0 days 03:33:48,185,387,Bergamont
70,Gravel Cycling,2022-10-08 11:47:03,just an autumn easy spin,41.9,906.0,0 days 01:42:42,126,169,2.5,24.5,44.2,166,158,0,0,0,0.0,0,0,0,0,14.0,0 days 01:42:30,0 days 01:46:00,194,255,Bergamont
71,Cycling,2022-10-05 11:24:31,Prague Cycling,13.75,328.0,0 days 00:37:29,125,143,0.0,22.0,43.1,43,39,0,0,0,0.0,0,0,0,0,0.0,0 days 00:37:23,0 days 00:37:29,185,208,unknown
72,Cycling,2022-10-05 09:51:42,Prague Cycling,13.45,415.0,0 days 00:40:12,133,153,0.0,20.1,34.3,51,60,0,0,0,0.0,0,0,0,0,0.0,0 days 00:39:02,0 days 00:40:12,188,210,unknown
73,Gravel Cycling,2022-10-01 10:09:16,Gravel series Ralsko,58.96,2657.0,0 days 03:03:06,167,186,5.0,19.3,53.0,681,658,0,0,0,0.0,0,0,0,0,8.0,0 days 03:02:28,0 days 03:08:45,266,406,Bergamont
74,Gravel Cycling,2022-09-25 12:22:04,Prague Gravel/Unpaved Cycling,41.42,875.0,0 days 01:57:34,114,149,2.0,21.1,37.9,108,105,0,0,0,0.0,0,0,0,0,16.0,0 days 01:57:02,0 days 03:04:31,197,219,Bergamont
75,Gravel Cycling,2022-09-23 15:30:22,Prague Gravel/Unpaved Cycling,53.22,1353.0,0 days 02:10:29,140,171,3.6,24.5,50.5,364,354,0,0,0,0.0,0,0,0,0,12.0,0 days 02:10:04,0 days 02:23:13,198,393,Bergamont
76,Gravel Cycling,2022-09-16 10:30:36,Lov VKP a Francouzská cyklojízda,104.1,3339.0,0 days 05:03:04,149,181,5.0,20.6,55.0,1664,1662,0,0,0,0.0,0,0,0,0,12.0,0 days 05:02:00,0 days 05:51:51,194,509,Bergamont
77,Gravel Cycling,2022-09-04 14:07:36,Praha - Kotce,104.8,2744.0,0 days 04:11:44,150,183,5.0,25.0,51.0,755,929,0,0,0,0.0,0,0,0,0,20.0,0 days 04:11:00,0 days 04:37:56,170,382,Bergamont
78,Gravel Cycling,2022-09-03 14:33:37,Lomnice s Karin,24.86,688.0,0 days 01:23:07,122,159,2.4,17.9,52.2,403,404,0,0,0,0.0,0,0,0,0,18.0,0 days 01:22:39,0 days 01:38:46,294,558,Bergamont
79,Road Cycling,2022-08-27 09:44:45,Trento and back,101.84,2341.0,0 days 03:44:49,141,176,4.1,27.2,60.0,565,569,82,125,0,0.0,0,0,0,17350,17.0,0 days 03:44:41,0 days 03:51:45,203,569,Roubaix
80,Road Cycling,2022-08-24 10:09:31,Mittelberg + Passo Mendola,61.69,2373.0,0 days 02:50:10,158,185,5.0,21.7,57.9,1177,1173,77,122,0,0.0,0,0,0,11219,23.0,0 days 02:50:01,0 days 03:05:51,227,1346,Roubaix
81,Road Cycling,2022-08-22 08:41:55,Mittelberg 2022_3,40.76,1251.0,0 days 01:36:25,148,183,4.1,25.4,54.7,441,433,83,123,0,0.0,0,0,0,7143,19.0,0 days 01:36:22,0 days 01:39:16,222,576,Roubaix
82,Road Cycling,2022-08-13 09:24:18,🚴‍♂️🚴‍♀️Passeiertal with Karin,104.26,2326.0,0 days 04:24:08,131,168,3.6,23.7,55.7,536,852,72,102,0,0.0,0,0,0,16416,16.0,0 days 04:23:31,0 days 05:32:43,244,683,Roubaix
83,Road Cycling,2022-08-11 16:38:24,Mittelberg 2022_2,40.23,1038.0,0 days 01:57:49,129,156,2.9,20.5,54.3,407,392,69,100,0,0.0,0,0,0,7199,25.0,0 days 01:57:37,0 days 02:08:51,235,580,Roubaix
84,Road Cycling,2022-08-09 10:01:16,Mittelberg 2022_1,40.16,1267.0,0 days 01:32:39,152,180,4.3,26.0,59.0,408,402,85,118,0,0.0,0,0,0,7194,24.0,0 days 01:32:35,0 days 01:33:06,228,580,Roubaix
85,Cycling,2022-08-01 17:49:53,Praha Cyklistika,17.86,523.0,0 days 01:20:13,118,169,0.0,13.4,86.2,130,133,0,0,0,0.0,0,0,0,0,0.0,0 days 01:13:28,0 days 01:20:13,196,293,unknown
86,Gravel Cycling,2022-07-31 10:53:54,🧭Severní část ⛰️Vrkopy,62.09,1837.0,0 days 02:49:38,151,184,4.7,22.0,48.9,600,608,0,0,0,0.0,0,0,0,0,26.0,0 days 02:48:57,0 days 03:25:27,176,332,Bergamont
87,Gravel Cycling,2022-07-26 17:16:34,Praha Cyklistika na nezpevněných cestách,48.13,1271.0,0 days 01:55:53,145,179,4.2,24.9,47.9,385,370,0,0,0,0.0,0,0,0,0,24.0,0 days 01:55:31,0 days 01:59:41,197,376,Bergamont
88,Gravel Cycling,2022-07-17 12:39:13,Rovensko pod Troskami Cyklistika na nezpevněných cestách,35.34,933.0,0 days 01:58:17,120,166,2.4,17.9,52.9,467,465,0,0,0,0.0,0,0,0,0,20.0,0 days 01:57:21,0 days 02:54:30,275,477,Bergamont
89,Gravel Cycling,2022-07-16 15:42:55,Rovensko pod Troskami Cyklistika na nezpevněných cestách,26.07,788.0,0 days 01:48:04,115,163,2.0,14.5,41.9,378,382,0,0,0,0.0,0,0,0,0,15.0,0 days 01:47:17,0 days 03:09:33,256,419,Bergamont
90,Gravel Cycling,2022-07-15 13:38:17,Praha Cyklistika na nezpevněných cestách,104.76,2979.0,0 days 04:28:38,151,181,5.0,23.4,47.1,954,772,0,0,0,0.0,0,0,0,0,18.0,0 days 04:27:47,0 days 04:56:15,182,400,Bergamont
91,Gravel Cycling,2022-07-13 17:39:32,Praha Cyklistika na nezpevněných cestách,47.69,1331.0,0 days 01:54:04,151,187,4.9,25.1,48.6,353,350,0,0,0,0.0,0,0,0,0,24.0,0 days 01:53:40,0 days 01:57:05,197,376,Bergamont
92,Gravel Cycling,2022-07-11 17:53:57,Praha Cyklistika na nezpevněných cestách,27.68,601.0,0 days 01:17:54,117,148,1.8,21.3,35.7,62,65,0,0,0,0.0,0,0,0,0,19.0,0 days 01:17:11,0 days 01:54:04,192,208,Bergamont
93,Gravel Cycling,2022-07-08 19:07:57,Karin's new bike,31.64,645.0,0 days 01:25:25,117,140,1.7,22.2,35.1,76,78,0,0,0,0.0,0,0,0,0,15.0,0 days 01:25:02,0 days 01:58:05,192,208,Bergamont
94,Gravel Cycling,2022-07-06 17:52:26,Praha Cyklistika na nezpevněných cestách,36.11,864.0,0 days 01:26:02,136,160,3.0,25.2,36.1,74,72,0,0,0,0.0,0,0,0,0,20.0,0 days 01:25:47,0 days 01:28:15,197,211,Bergamont
95,Gravel Cycling,2022-07-05 18:18:26,Praha Cyklistika na nezpevněných cestách,36.12,879.0,0 days 01:22:47,138,161,3.1,26.2,39.3,70,66,0,0,0,0.0,0,0,0,0,23.0,0 days 01:22:35,0 days 01:23:40,195,207,Bergamont
96,Road Cycling,2022-07-02 09:08:57,Caldaro sulla Strada del Vino Silniční cyklistika,72.82,1689.0,0 days 03:16:45,130,173,3.5,22.2,42.0,344,488,70,111,0,0.0,0,0,0,12230,23.0,0 days 03:16:29,0 days 04:14:01,249,571,Roubaix
97,Gravel Cycling,2022-05-22 16:11:06,Asijská cyklojízda,59.72,1695.0,0 days 02:45:09,146,180,4.2,21.7,58.7,668,664,0,0,0,0.0,0,0,0,0,17.0,0 days 02:44:08,0 days 03:04:46,205,419,Bergamont
98,Road Cycling,2022-05-10 17:17:58,Praha Silniční cyklistika,86.89,2095.0,0 days 03:23:28,147,177,4.4,25.6,55.6,626,637,81,182,0,0.0,0,0,0,14239,16.0,0 days 03:23:05,0 days 03:37:26,195,417,Roubaix
99,Road Cycling,2022-05-06 12:15:30,Praha Silniční cyklistika,44.97,933.0,0 days 01:42:01,134,166,3.1,26.4,40.6,156,164,78,108,0,0.0,0,0,0,7295,17.0,0 days 01:41:45,0 days 01:47:03,193,214,Roubaix
100,Cycling,2022-05-04 14:02:39,Praha Cyklistika,13.3,384.0,0 days 00:41:03,135,156,0.0,19.4,31.4,65,55,0,0,0,0.0,0,0,0,0,0.0,0 days 00:40:38,0 days 00:41:03,185,211,unknown
101,Cycling,2022-05-04 12:19:09,Praha Cyklistika,13.12,347.0,0 days 00:36:36,133,167,0.0,21.5,36.0,43,51,0,0,0,0.0,0,0,0,0,0.0,0 days 00:36:33,0 days 00:36:36,186,210,unknown
102,Road Cycling,2022-05-03 16:13:30,Praha Silniční cyklistika,46.18,1095.0,0 days 01:51:31,137,165,3.3,24.9,49.4,376,377,79,112,0,0.0,0,0,0,7766,17.0,0 days 01:51:12,0 days 01:56:29,195,390,Roubaix
103,Cycling,2022-05-02 15:55:46,Praha Cyklistika,7.4,247.0,0 days 00:38:19,116,143,0.0,11.6,62.0,75,84,0,0,0,0.0,0,0,0,0,0.0,0 days 00:34:40,0 days 00:38:19,196,274,unknown
104,Gravel Cycling,2022-04-30 10:30:16,Tasmánská cyklojízda a lov Vrkopy,163.07,4419.0,0 days 07:58:10,144,182,5.0,20.5,58.2,2336,2288,0,0,0,0.0,0,0,0,0,11.0,0 days 07:56:01,0 days 09:15:29,235,602,Bergamont
105,Road Cycling,2022-04-29 14:13:38,Praha Silniční cyklistika,58.08,1233.0,0 days 02:20:04,139,181,3.9,24.9,62.4,488,489,75,105,0,0.0,0,0,0,9428,14.0,0 days 02:19:37,0 days 02:26:14,195,394,Roubaix
106,Road Cycling,2022-04-26 16:29:57,Praha Silniční cyklistika,44.99,1042.0,0 days 01:51:58,132,166,3.0,24.1,38.5,213,225,0,0,0,0.0,0,0,0,0,12.0,0 days 01:51:33,0 days 02:03:26,191,246,Roubaix
107,Gravel Cycling,2022-04-15 14:31:16,Praha Cyklistika na nezpevněných cestách,59.26,1461.0,0 days 02:46:22,135,170,3.5,21.4,49.4,452,482,0,0,0,0.0,0,0,0,0,9.0,0 days 02:45:11,0 days 03:13:17,189,342,Bergamont
108,Road Cycling,2022-04-13 18:19:19,Praha Silniční cyklistika,35.7,817.0,0 days 01:23:31,134,173,3.0,25.6,38.8,132,132,0,0,0,0.0,0,0,0,0,16.0,0 days 01:23:06,0 days 01:30:37,193,250,Roubaix
109,Indoor Cycling,2022-04-09 16:53:42,SEG W1-T3 Threshold,35.11,761.0,0 days 01:04:00,148,177,0.0,32.9,39.1,0,0,69,80,225,60.7,238,198,327,0,0.0,0 days 01:03:56,0 days 01:04:00,0,0,Tacx
110,Indoor Cycling,2022-04-09 16:52:35,SEG W1-T3 Threshold,0.0,0.0,0 days 00:00:15,76,77,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0 days 00:00:00,0 days 00:00:15,0,0,Tacx
111,Gravel Cycling,2022-04-06 17:05:18,Praha Cyklistika na nezpevněných cestách,47.13,1163.0,0 days 02:05:09,136,176,3.4,22.6,49.9,499,491,0,0,0,0.0,0,0,0,0,11.0,0 days 02:04:24,0 days 02:11:28,205,317,Bergamont
112,Indoor Cycling,2022-04-03 13:19:20,77,77.75,1417.0,0 days 02:35:09,138,156,0.0,30.1,32.7,0,0,76,94,153,68.5,164,152,232,0,0.0,0 days 02:35:00,0 days 02:35:09,0,0,Tacx
113,Indoor Cycling,2022-03-31 17:48:32,Cyclinglab 20-minute test - FTP Test,19.4,645.0,0 days 00:45:00,163,186,0.0,25.9,45.0,472,0,74,109,273,66.8,313,239,804,0,0.0,0 days 00:45:00,0 days 00:45:00,0,0,Tacx
114,Virtual Cycling,2022-03-31 17:24:27,"Vosges, Railway Recovery",10.02,146.0,0 days 00:17:46,127,134,0.0,33.9,39.9,4,97,65,70,138,6.8,0,138,216,0,0.0,0 days 00:17:46,0 days 00:17:46,500,599,Tacx
115,Virtual Cycling,2022-03-29 17:37:53,"California, Pacific Coast Highway Stage 1",58.22,1248.0,0 days 02:01:18,139,181,0.0,28.8,56.9,657,520,73,88,191,88.2,198,172,422,0,0.0,0 days 02:01:14,0 days 02:01:18,11,218,Tacx
116,Gravel Cycling,2022-03-27 14:24:10,☕🚴‍♂️🚴 again 🙂,30.3,673.0,0 days 01:49:45,111,179,2.1,16.6,38.1,193,199,0,0,0,0.0,0,0,0,0,16.0,0 days 01:48:20,0 days 02:49:43,190,272,Bergamont
117,Gravel Cycling,2022-03-26 12:10:00,🚴🚴‍♂️☕🍰,54.04,1038.0,0 days 02:59:58,107,157,1.7,18.0,43.8,172,160,0,0,0,0.0,0,0,0,0,15.0,0 days 02:59:10,0 days 04:22:46,196,256,Bergamont
118,Gravel Cycling,2022-03-22 16:16:30,Praha Cyklistika na nezpevněných cestách,36.75,1030.0,0 days 01:48:09,136,175,3.2,20.4,49.3,414,406,0,0,0,0.0,0,0,0,0,12.0,0 days 01:47:17,0 days 02:02:19,194,337,Bergamont
119,Virtual Cycling,2022-03-17 17:02:56,Quick-Step - Coll de Rates,36.38,866.0,0 days 01:11:17,147,171,0.0,30.6,79.9,592,826,77,104,222,70.3,254,203,394,0,0.0,0 days 01:11:17,0 days 01:11:17,272,785,Tacx
120,Virtual Cycling,2022-03-15 17:29:19,Lotto Soudal - Sprint Team,38.04,1056.0,0 days 01:29:43,144,174,0.0,25.4,68.3,813,475,72,93,218,85.2,217,196,410,0,0.0,0 days 01:29:41,0 days 01:29:43,22,318,Tacx
121,Gravel Cycling,2022-03-13 14:43:50,Cukrák,48.39,1220.0,0 days 01:59:27,142,173,3.5,24.3,49.4,354,350,0,0,0,0.0,0,0,0,0,9.0,0 days 01:59:00,0 days 02:07:16,193,417,Bergamont
122,Virtual Cycling,2022-03-11 15:53:07,Quick-Step - Tarbena,36.62,1294.0,0 days 01:37:05,156,179,0.0,22.6,64.1,1178,314,74,98,236,107.5,242,222,406,0,0.0,0 days 01:37:04,0 days 01:37:05,0,782,Tacx
123,Virtual Cycling,2022-03-10 16:41:53,Astana - Gata de Gorgos,41.08,905.0,0 days 01:20:19,148,178,0.0,30.7,60.5,381,329,78,97,211,71.3,249,188,444,0,0.0,0 days 01:20:17,0 days 01:20:19,-1,275,Tacx
124,Virtual Cycling,2022-03-06 15:25:01,Lotto Soudal - Classics Team,45.13,1107.0,0 days 01:35:09,143,172,0.0,28.5,73.3,762,688,72,85,216,89.0,213,194,468,0,0.0,0 days 01:35:09,0 days 01:35:09,12,166,Tacx
125,Gravel Cycling,2022-03-05 09:38:06,Praha Cyklistika na nezpevněných cestách,44.61,1158.0,0 days 02:01:13,140,185,3.5,22.1,47.7,222,243,0,0,0,0.0,0,0,0,0,1.0,0 days 01:59:21,0 days 02:22:08,176,246,Bergamont
126,Virtual Cycling,2022-03-03 17:42:18,TotalEnergies - Port de Tudons,26.85,1042.0,0 days 01:17:36,154,170,0.0,20.8,60.2,982,216,71,102,237,87.2,254,224,397,0,0.0,0 days 01:17:34,0 days 01:17:36,137,1026,Tacx
127,Virtual Cycling,2022-03-01 18:14:57,Astana - Collao Laguar,33.57,777.0,0 days 01:11:34,143,171,0.0,28.1,82.3,554,871,70,87,206,60.7,235,181,379,0,0.0,0 days 01:11:29,0 days 01:11:34,34,790,Tacx
128,Indoor Cycling,2022-02-26 14:16:12,Cyclinglab 20-minute test - FTP Test,19.03,627.0,0 days 00:45:00,162,189,0.0,25.4,43.9,466,0,73,93,268,82.2,305,232,387,0,0.0,0 days 00:45:00,0 days 00:45:00,0,0,Tacx
129,Virtual Cycling,2022-02-26 13:48:28,Bologna - City Trip,6.51,119.0,0 days 00:15:22,123,141,0.0,25.4,31.4,38,1,60,72,136,7.3,0,130,239,0,0.0,0 days 00:15:22,0 days 00:15:22,35,66,Tacx
130,Cycling,2022-02-25 15:57:46,Praha Cyklistika,5.49,193.0,0 days 00:26:14,118,148,0.0,12.6,61.0,39,39,0,0,0,0.0,0,0,0,0,0.0,0 days 00:25:03,0 days 00:26:14,185,208,unknown
131,Gravel Cycling,2022-02-24 14:01:09,Praha Cyklistika na nezpevněných cestách,60.47,1565.0,0 days 02:47:13,138,176,3.5,21.7,46.0,564,528,0,0,0,0.0,0,0,0,0,8.0,0 days 02:46:11,0 days 03:11:06,204,313,Bergamont
132,Virtual Cycling,2022-02-22 16:43:23,Trans Ardennes River Tour 2,44.47,830.0,0 days 01:28:29,132,157,0.0,30.2,46.7,138,63,76,88,163,59.8,171,157,432,0,0.0,0 days 01:28:24,0 days 01:28:29,154,177,Tacx
133,Gravel Cycling,2022-02-19 12:55:58,Praha Cyklistika na nezpevněných cestách,37.74,999.0,0 days 01:48:34,134,167,3.0,20.9,48.4,352,354,0,0,0,0.0,0,0,0,0,5.0,0 days 01:48:11,0 days 01:59:31,185,312,Bergamont
134,Virtual Cycling,2022-02-18 16:40:00,Trans Ardennes River Tour 1,47.5,961.0,0 days 01:38:49,137,167,0.0,28.8,59.1,474,459,68,98,192,92.4,210,162,424,0,0.0,0 days 01:38:48,0 days 01:38:49,164,367,Tacx
135,Virtual Cycling,2022-02-16 19:27:43,Lustrafjord - Stage 3,37.12,765.0,0 days 01:12:21,144,173,0.0,30.8,52.1,251,177,70,80,194,69.1,192,177,386,0,0.0,0 days 01:12:20,0 days 01:12:21,16,83,Tacx
136,Virtual Cycling,2022-02-14 17:56:51,Lustrafjord - Stage 2,33.88,815.0,0 days 01:05:30,158,183,0.0,31.0,78.9,428,369,73,87,239,95.2,235,208,444,0,0.0,0 days 01:05:30,0 days 01:05:30,4,125,Tacx
137,Virtual Cycling,2022-02-12 16:22:52,Mols Bjerge - Stage 2,29.41,647.0,0 days 00:58:45,146,176,0.0,30.0,59.0,354,300,70,93,218,70.9,203,183,449,0,0.0,0 days 00:58:45,0 days 00:58:45,6,123,Tacx
138,Virtual Cycling,2022-02-12 15:23:56,Mols Bjerge - Stage 1,27.7,628.0,0 days 00:53:27,147,177,0.0,31.1,55.8,332,265,70,81,223,67.6,221,196,414,0,0.0,0 days 00:53:24,0 days 00:53:27,3,121,Tacx
139,Virtual Cycling,2022-02-09 18:31:09,Lustrafjord - Stage 1,37.55,833.0,0 days 01:10:18,155,179,0.0,32.1,55.6,258,199,78,91,215,83.0,210,198,551,0,0.0,0 days 01:10:17,0 days 01:10:18,5,68,Tacx
140,Virtual Cycling,2022-02-07 17:34:04,Orust Island Tour - Stage 3,34.82,792.0,0 days 01:03:53,157,183,0.0,32.7,58.4,389,344,76,96,240,93.3,227,207,479,0,0.0,0 days 01:03:52,0 days 01:03:53,6,93,Tacx
141,Virtual Cycling,2022-02-05 14:30:31,Orust Island Tour - Stage 2,33.64,757.0,0 days 01:05:37,158,187,0.0,30.8,59.4,403,240,74,86,222,82.4,209,192,491,0,0.0,0 days 01:05:37,0 days 01:05:37,6,73,Tacx
142,Gravel Cycling,2022-02-04 13:08:26,Praha Cyklistika na nezpevněných cestách,49.79,1282.0,0 days 02:09:36,146,177,4.0,23.1,43.4,394,381,0,0,0,0.0,0,0,0,0,4.0,0 days 02:09:15,0 days 02:14:57,192,390,Bergamont
143,Virtual Cycling,2022-02-02 17:14:41,Orust Island Tour - Stage 1,33.91,742.0,0 days 01:05:00,156,184,0.0,31.3,58.8,366,239,75,89,220,80.0,209,190,456,0,0.0,0 days 01:04:49,0 days 01:05:00,5,53,Tacx
